0,10,10,5527.2,5512.4,14.779,83.176,25329
0,100,100,228.82,190.97,37.852,53.614,40291
0,10,100,184.34,149.65,34.697,61.528,38599
0,0,150,390.86,352.91,37.956,55.028,33599
5,34,146,91.422,63.351,28.071,67.268,40580
10,49,142,92.695,66.628,26.066,67.416,41777
15,59,138,108.96,84.146,24.81,67.462,42040
20,67,134,133.42,108.11,25.305,66.736,42137
25,75,130,135.66,109.33,26.333,65.574,42210
30,82,125,176.23,150.18,26.044,65.1,42215
35,88,121,148.44,120.98,27.457,64.352,42273
40,94,116,217.67,187.29,30.38,60.497,42224
45,100,111,195.6,161.86,33.731,57.657,42261
50,106,106,258.64,220.94,37.697,53.431,40278
