0,10,10,42.337,31.972,10.365,89.255,3961.3
0,100,100,265.37,250.07,15.303,84.298,3866.2
0,10,100,23.921,15.64,8.2809,91.379,3910.2
0,0,144,117.53,93.44,24.09,75.91,371.99
5,11,104,24.093,16.16,7.9328,91.697,4203.4
10,17,96,16.429,9.7697,6.6593,93.058,4267.2
15,23,90,13.91,7.6741,6.2361,93.516,4287.3
20,30,85,11.768,6.0504,5.7173,94.059,4298.8
25,35,80,11.889,6.1795,5.7093,94.045,4303.3
30,39,74,12.033,6.0773,5.9558,93.829,4306.2
35,43,68,11.719,6.0586,5.6601,94.112,4308.4
40,46,62,11.801,6.4046,5.3962,94.357,4309
45,50,57,12.257,6.6523,5.6043,94.148,4309.6
50,53,53,19.229,10.521,8.7081,90.987,4101
